YearsExperience,EducationLevel,JobDescription,Salary
17,Bachelor,Marketing specialist with SEO and SEM experience,185596
7,High School,Financial analyst familiar with Excel and financial modeling,39745
7,Bachelor,Financial analyst familiar with Excel and financial modeling,45861
6,High School,Customer support representative with CRM experience,121707
7,PhD,Data scientist proficient in machine learning and Python,84261
13,Master,Software engineer with experience in backend systems,163909
18,Master,Data scientist proficient in machine learning and Python,104135
5,Bachelor,Data scientist proficient in machine learning and Python,84380
0,Master,Data scientist proficient in machine learning and Python,116089
14,PhD,Data scientist proficient in machine learning and Python,135025
0,Master,Full stack developer skilled in React and Node.js,199327
16,Bachelor,Software engineer with experience in backend systems,190592
0,PhD,Full stack developer skilled in React and Node.js,190613
14,High School,Marketing specialist with SEO and SEM experience,188422
1,Bachelor,Project manager with Agile and Scrum expertise,74397
13,High School,Data scientist proficient in machine learning and Python,107085
20,PhD,Project manager with Agile and Scrum expertise,93865
7,Bachelor,Financial analyst familiar with Excel and financial modeling,85956
7,Bachelor,Customer support representative with CRM experience,188525
18,PhD,Customer support representative with CRM experience,130727
6,Master,Full stack developer skilled in React and Node.js,173978
18,Bachelor,Full stack developer skilled in React and Node.js,44988
5,Bachelor,Financial analyst familiar with Excel and financial modeling,188795
5,High School,Data scientist proficient in machine learning and Python,63800
2,Master,Project manager with Agile and Scrum expertise,188502
6,High School,Graphic designer with Adobe Creative Suite proficiency,193607
18,High School,Project manager with Agile and Scrum expertise,117329
7,Master,Software engineer with experience in backend systems,82284
9,Master,Marketing specialist with SEO and SEM experience,86232
19,PhD,Customer support representative with CRM experience,74420
14,Master,Marketing specialist with SEO and SEM experience,67710
14,Bachelor,Software engineer with experience in backend systems,122035
0,Master,Full stack developer skilled in React and Node.js,61283
19,PhD,Project manager with Agile and Scrum expertise,55968
6,PhD,Customer support representative with CRM experience,92508
3,PhD,Marketing specialist with SEO and SEM experience,143435
5,Master,Graphic designer with Adobe Creative Suite proficiency,115366
0,Master,Full stack developer skilled in React and Node.js,35738
4,High School,Software engineer with experience in backend systems,33098
0,High School,Graphic designer with Adobe Creative Suite proficiency,125424
3,Bachelor,Marketing specialist with SEO and SEM experience,108672
1,High School,Graphic designer with Adobe Creative Suite proficiency,68244
9,Bachelor,Project manager with Agile and Scrum expertise,169325
4,PhD,Data scientist proficient in machine learning and Python,84333
9,High School,Graphic designer with Adobe Creative Suite proficiency,155349
0,Master,Full stack developer skilled in React and Node.js,80969
5,High School,Software engineer with experience in backend systems,120744
12,Bachelor,Marketing specialist with SEO and SEM experience,147286
14,High School,Project manager with Agile and Scrum expertise,105028
3,PhD,Data scientist proficient in machine learning and Python,65421
12,Master,Data scientist proficient in machine learning and Python,162526
19,Bachelor,Software engineer with experience in backend systems,178594
14,Master,Financial analyst familiar with Excel and financial modeling,68575
7,Master,Project manager with Agile and Scrum expertise,33192
4,Bachelor,Project manager with Agile and Scrum expertise,141116
14,Master,Customer support representative with CRM experience,157874
3,Master,Software engineer with experience in backend systems,111311
11,High School,Data scientist proficient in machine learning and Python,171474
12,Master,Data scientist proficient in machine learning and Python,110781
1,Master,Graphic designer with Adobe Creative Suite proficiency,66527
18,Master,Software engineer with experience in backend systems,82181
18,Master,Financial analyst familiar with Excel and financial modeling,121472
3,Bachelor,Customer support representative with CRM experience,188074
3,PhD,Marketing specialist with SEO and SEM experience,111219
10,High School,Software engineer with experience in backend systems,173532
4,Master,Customer support representative with CRM experience,149783
19,Master,Project manager with Agile and Scrum expertise,191554
10,Bachelor,Customer support representative with CRM experience,177519
9,PhD,Graphic designer with Adobe Creative Suite proficiency,113265
7,Master,Full stack developer skilled in React and Node.js,80126
5,Bachelor,Data scientist proficient in machine learning and Python,50545
5,High School,Graphic designer with Adobe Creative Suite proficiency,85114
7,High School,Marketing specialist with SEO and SEM experience,123740
14,Master,Software engineer with experience in backend systems,43890
13,Master,Graphic designer with Adobe Creative Suite proficiency,151284
10,PhD,Data scientist proficient in machine learning and Python,82482
11,PhD,Full stack developer skilled in React and Node.js,162812
12,Master,Graphic designer with Adobe Creative Suite proficiency,191193
7,Bachelor,Full stack developer skilled in React and Node.js,172290
17,PhD,Graphic designer with Adobe Creative Suite proficiency,101591
0,Master,Data scientist proficient in machine learning and Python,118241
14,PhD,Financial analyst familiar with Excel and financial modeling,64722
7,Master,Customer support representative with CRM experience,79431
10,High School,Software engineer with experience in backend systems,72000
11,Master,Software engineer with experience in backend systems,101975
11,High School,Software engineer with experience in backend systems,60921
3,PhD,Data scientist proficient in machine learning and Python,129265
15,Master,Project manager with Agile and Scrum expertise,118747
3,PhD,Financial analyst familiar with Excel and financial modeling,191686
4,High School,Marketing specialist with SEO and SEM experience,47601
4,Master,Full stack developer skilled in React and Node.js,123332
7,PhD,Data scientist proficient in machine learning and Python,153254
9,High School,Project manager with Agile and Scrum expertise,181586
16,PhD,Marketing specialist with SEO and SEM experience,149004
8,Bachelor,Full stack developer skilled in React and Node.js,177364
18,High School,Full stack developer skilled in React and Node.js,192582
13,High School,Financial analyst familiar with Excel and financial modeling,58000
7,High School,Customer support representative with CRM experience,160439
8,Master,Software engineer with experience in backend systems,149277
10,Master,Graphic designer with Adobe Creative Suite proficiency,60383
0,Master,Marketing specialist with SEO and SEM experience,172857
13,Bachelor,Data scientist proficient in machine learning and Python,70910
4,Bachelor,Marketing specialist with SEO and SEM experience,185927
20,High School,Customer support representative with CRM experience,54281
13,Bachelor,Software engineer with experience in backend systems,143838
3,PhD,Marketing specialist with SEO and SEM experience,34841
0,High School,Customer support representative with CRM experience,127204
18,High School,Data scientist proficient in machine learning and Python,90155
7,PhD,Financial analyst familiar with Excel and financial modeling,187990
14,High School,Project manager with Agile and Scrum expertise,86313
20,Bachelor,Full stack developer skilled in React and Node.js,141688
14,Master,Data scientist proficient in machine learning and Python,178515
8,PhD,Software engineer with experience in backend systems,193322
20,Bachelor,Full stack developer skilled in React and Node.js,162994
8,PhD,Project manager with Agile and Scrum expertise,61976
9,PhD,Data scientist proficient in machine learning and Python,173063
19,High School,Graphic designer with Adobe Creative Suite proficiency,134405
20,High School,Data scientist proficient in machine learning and Python,83744
8,Bachelor,Data scientist proficient in machine learning and Python,183805
2,PhD,Graphic designer with Adobe Creative Suite proficiency,32473
19,High School,Data scientist proficient in machine learning and Python,169180
10,High School,Full stack developer skilled in React and Node.js,58715
5,PhD,Software engineer with experience in backend systems,193282
1,Bachelor,Project manager with Agile and Scrum expertise,67317
6,Bachelor,Customer support representative with CRM experience,95516
17,PhD,Marketing specialist with SEO and SEM experience,194434
1,Bachelor,Graphic designer with Adobe Creative Suite proficiency,84604
16,High School,Financial analyst familiar with Excel and financial modeling,34889
10,PhD,Graphic designer with Adobe Creative Suite proficiency,103748
11,High School,Project manager with Agile and Scrum expertise,61971
18,Master,Marketing specialist with SEO and SEM experience,80551
6,Master,Marketing specialist with SEO and SEM experience,164273
19,Bachelor,Financial analyst familiar with Excel and financial modeling,138957
5,Master,Project manager with Agile and Scrum expertise,119882
20,High School,Full stack developer skilled in React and Node.js,67958
0,Master,Software engineer with experience in backend systems,35681
16,High School,Financial analyst familiar with Excel and financial modeling,131982
10,Bachelor,Software engineer with experience in backend systems,76870
17,Bachelor,Full stack developer skilled in React and Node.js,158396
20,High School,Marketing specialist with SEO and SEM experience,97203
16,Master,Software engineer with experience in backend systems,189224
6,Bachelor,Full stack developer skilled in React and Node.js,80061
16,PhD,Full stack developer skilled in React and Node.js,88235
19,Bachelor,Customer support representative with CRM experience,67890
8,Master,Financial analyst familiar with Excel and financial modeling,120073
16,PhD,Customer support representative with CRM experience,91401
19,Master,Graphic designer with Adobe Creative Suite proficiency,41217
7,High School,Marketing specialist with SEO and SEM experience,78351
16,PhD,Financial analyst familiar with Excel and financial modeling,63741
6,Master,Marketing specialist with SEO and SEM experience,181726
0,PhD,Customer support representative with CRM experience,31408
12,Master,Project manager with Agile and Scrum expertise,72903
18,PhD,Full stack developer skilled in React and Node.js,137042
18,Master,Marketing specialist with SEO and SEM experience,162290
16,High School,Financial analyst familiar with Excel and financial modeling,152189
12,PhD,Graphic designer with Adobe Creative Suite proficiency,139268
15,PhD,Financial analyst familiar with Excel and financial modeling,60105
7,PhD,Marketing specialist with SEO and SEM experience,99634
18,PhD,Financial analyst familiar with Excel and financial modeling,147426
17,High School,Graphic designer with Adobe Creative Suite proficiency,168691
0,PhD,Full stack developer skilled in React and Node.js,173011
13,Bachelor,Project manager with Agile and Scrum expertise,48226
18,High School,Full stack developer skilled in React and Node.js,55322
14,Bachelor,Financial analyst familiar with Excel and financial modeling,147504
17,PhD,Graphic designer with Adobe Creative Suite proficiency,88215
1,Master,Graphic designer with Adobe Creative Suite proficiency,177950
16,Bachelor,Marketing specialist with SEO and SEM experience,167632
17,PhD,Customer support representative with CRM experience,199350
5,Bachelor,Financial analyst familiar with Excel and financial modeling,197284
18,PhD,Financial analyst familiar with Excel and financial modeling,124835
3,PhD,Financial analyst familiar with Excel and financial modeling,103079
0,PhD,Financial analyst familiar with Excel and financial modeling,53946
7,Master,Marketing specialist with SEO and SEM experience,192812
6,Bachelor,Customer support representative with CRM experience,140733
2,High School,Customer support representative with CRM experience,37253
9,High School,Software engineer with experience in backend systems,109311
9,High School,Financial analyst familiar with Excel and financial modeling,62813
18,High School,Financial analyst familiar with Excel and financial modeling,188704
13,PhD,Software engineer with experience in backend systems,78365
1,Bachelor,Customer support representative with CRM experience,97593
0,Bachelor,Graphic designer with Adobe Creative Suite proficiency,194503
17,Master,Graphic designer with Adobe Creative Suite proficiency,198508
6,Bachelor,Data scientist proficient in machine learning and Python,179485
7,Bachelor,Full stack developer skilled in React and Node.js,68485
0,Bachelor,Data scientist proficient in machine learning and Python,141504
2,Master,Customer support representative with CRM experience,46101
7,High School,Project manager with Agile and Scrum expertise,38831
14,Bachelor,Financial analyst familiar with Excel and financial modeling,81897
4,Master,Data scientist proficient in machine learning and Python,35004
2,Master,Marketing specialist with SEO and SEM experience,75924
18,PhD,Graphic designer with Adobe Creative Suite proficiency,182581
0,Master,Marketing specialist with SEO and SEM experience,67170
14,High School,Software engineer with experience in backend systems,73555
7,Bachelor,Customer support representative with CRM experience,175734
1,Master,Customer support representative with CRM experience,148115
2,High School,Data scientist proficient in machine learning and Python,134216
13,Master,Financial analyst familiar with Excel and financial modeling,95930
13,Master,Customer support representative with CRM experience,66365
10,Master,Data scientist proficient in machine learning and Python,92188
15,Master,Data scientist proficient in machine learning and Python,128633
3,Master,Full stack developer skilled in React and Node.js,187745
19,High School,Full stack developer skilled in React and Node.js,93471
4,Bachelor,Customer support representative with CRM experience,178228
20,Bachelor,Data scientist proficient in machine learning and Python,87287
13,Bachelor,Software engineer with experience in backend systems,162717
15,Bachelor,Software engineer with experience in backend systems,89076
17,High School,Full stack developer skilled in React and Node.js,146475
6,PhD,Customer support representative with CRM experience,80151
9,PhD,Graphic designer with Adobe Creative Suite proficiency,97384
6,High School,Financial analyst familiar with Excel and financial modeling,129865
0,High School,Project manager with Agile and Scrum expertise,63541
20,Master,Graphic designer with Adobe Creative Suite proficiency,102847
18,Master,Software engineer with experience in backend systems,80955
15,Master,Software engineer with experience in backend systems,170362
18,Bachelor,Graphic designer with Adobe Creative Suite proficiency,191215
3,Master,Full stack developer skilled in React and Node.js,185581
17,PhD,Full stack developer skilled in React and Node.js,117780
1,Bachelor,Customer support representative with CRM experience,197813
0,Master,Full stack developer skilled in React and Node.js,187970
14,Bachelor,Marketing specialist with SEO and SEM experience,129919
4,PhD,Project manager with Agile and Scrum expertise,142854
19,Master,Graphic designer with Adobe Creative Suite proficiency,91768
10,PhD,Graphic designer with Adobe Creative Suite proficiency,73262
9,PhD,Data scientist proficient in machine learning and Python,166578
1,PhD,Software engineer with experience in backend systems,50605
2,Master,Graphic designer with Adobe Creative Suite proficiency,108590
11,High School,Marketing specialist with SEO and SEM experience,58231
19,Master,Graphic designer with Adobe Creative Suite proficiency,109397
4,PhD,Financial analyst familiar with Excel and financial modeling,107123
4,Master,Marketing specialist with SEO and SEM experience,43515
5,PhD,Customer support representative with CRM experience,117211
8,High School,Financial analyst familiar with Excel and financial modeling,199694
1,Bachelor,Financial analyst familiar with Excel and financial modeling,46600
20,High School,Graphic designer with Adobe Creative Suite proficiency,188964
11,High School,Full stack developer skilled in React and Node.js,99310
2,Bachelor,Graphic designer with Adobe Creative Suite proficiency,182873
19,Master,Marketing specialist with SEO and SEM experience,198767
11,Bachelor,Customer support representative with CRM experience,189925
16,Master,Software engineer with experience in backend systems,165501
9,Master,Project manager with Agile and Scrum expertise,165678
13,PhD,Full stack developer skilled in React and Node.js,165550
16,PhD,Marketing specialist with SEO and SEM experience,144380
17,Bachelor,Software engineer with experience in backend systems,141780
18,High School,Marketing specialist with SEO and SEM experience,186547
16,Bachelor,Full stack developer skilled in React and Node.js,96177
13,Master,Software engineer with experience in backend systems,182802
8,PhD,Full stack developer skilled in React and Node.js,182185
7,Bachelor,Marketing specialist with SEO and SEM experience,181083
1,Bachelor,Financial analyst familiar with Excel and financial modeling,85746
12,PhD,Project manager with Agile and Scrum expertise,153075
6,PhD,Data scientist proficient in machine learning and Python,115195
8,PhD,Project manager with Agile and Scrum expertise,66818
10,Master,Financial analyst familiar with Excel and financial modeling,198393
13,PhD,Full stack developer skilled in React and Node.js,51309
3,High School,Project manager with Agile and Scrum expertise,179760
12,Bachelor,Full stack developer skilled in React and Node.js,58176
1,PhD,Full stack developer skilled in React and Node.js,98879
4,PhD,Software engineer with experience in backend systems,97592
10,Master,Customer support representative with CRM experience,114728
5,Master,Full stack developer skilled in React and Node.js,170488
17,Bachelor,Project manager with Agile and Scrum expertise,38584
20,High School,Project manager with Agile and Scrum expertise,154555
9,Bachelor,Project manager with Agile and Scrum expertise,123302
3,PhD,Financial analyst familiar with Excel and financial modeling,152408
8,High School,Data scientist proficient in machine learning and Python,48830
5,High School,Full stack developer skilled in React and Node.js,107066
1,High School,Graphic designer with Adobe Creative Suite proficiency,33591
16,High School,Full stack developer skilled in React and Node.js,123878
4,Bachelor,Full stack developer skilled in React and Node.js,155407
5,Master,Graphic designer with Adobe Creative Suite proficiency,146869
11,Master,Software engineer with experience in backend systems,51395
20,PhD,Full stack developer skilled in React and Node.js,46738
9,Master,Financial analyst familiar with Excel and financial modeling,163703
20,Master,Marketing specialist with SEO and SEM experience,178977
5,Master,Customer support representative with CRM experience,49056
7,Master,Project manager with Agile and Scrum expertise,151656
1,PhD,Full stack developer skilled in React and Node.js,145316
11,Bachelor,Software engineer with experience in backend systems,196519
12,High School,Financial analyst familiar with Excel and financial modeling,84418
20,Master,Full stack developer skilled in React and Node.js,67190
6,Bachelor,Graphic designer with Adobe Creative Suite proficiency,56014
9,Master,Software engineer with experience in backend systems,155563
12,Master,Marketing specialist with SEO and SEM experience,31780
16,High School,Data scientist proficient in machine learning and Python,72192
20,High School,Full stack developer skilled in React and Node.js,134875
13,High School,Financial analyst familiar with Excel and financial modeling,129129
1,Master,Software engineer with experience in backend systems,73923
10,Master,Graphic designer with Adobe Creative Suite proficiency,119196
0,Master,Software engineer with experience in backend systems,32395
18,High School,Full stack developer skilled in React and Node.js,132449
20,PhD,Software engineer with experience in backend systems,151747
3,Bachelor,Data scientist proficient in machine learning and Python,176851
18,PhD,Software engineer with experience in backend systems,101028
20,Master,Project manager with Agile and Scrum expertise,190794
10,Master,Customer support representative with CRM experience,168183
7,PhD,Project manager with Agile and Scrum expertise,171056
10,Master,Customer support representative with CRM experience,123176
3,Bachelor,Software engineer with experience in backend systems,56924
16,Master,Graphic designer with Adobe Creative Suite proficiency,62577
6,Bachelor,Graphic designer with Adobe Creative Suite proficiency,168783
7,PhD,Full stack developer skilled in React and Node.js,115548
2,PhD,Graphic designer with Adobe Creative Suite proficiency,155093
1,Master,Customer support representative with CRM experience,165168
14,Bachelor,Financial analyst familiar with Excel and financial modeling,96555
4,Master,Customer support representative with CRM experience,119848
0,High School,Project manager with Agile and Scrum expertise,38254
3,High School,Software engineer with experience in backend systems,155410
14,High School,Full stack developer skilled in React and Node.js,167037
19,High School,Marketing specialist with SEO and SEM experience,133025
18,Master,Full stack developer skilled in React and Node.js,160509
2,High School,Full stack developer skilled in React and Node.js,62963
19,Bachelor,Full stack developer skilled in React and Node.js,33273
10,PhD,Financial analyst familiar with Excel and financial modeling,45330
16,PhD,Data scientist proficient in machine learning and Python,182566
12,High School,Project manager with Agile and Scrum expertise,106422
10,High School,Software engineer with experience in backend systems,152089
1,High School,Data scientist proficient in machine learning and Python,33212
8,Master,Marketing specialist with SEO and SEM experience,117594
1,PhD,Data scientist proficient in machine learning and Python,162152
20,High School,Software engineer with experience in backend systems,62675
8,Bachelor,Project manager with Agile and Scrum expertise,52007
8,High School,Project manager with Agile and Scrum expertise,143805
7,PhD,Software engineer with experience in backend systems,112641
16,High School,Marketing specialist with SEO and SEM experience,125815
0,PhD,Software engineer with experience in backend systems,76815
10,High School,Marketing specialist with SEO and SEM experience,113482
7,Bachelor,Marketing specialist with SEO and SEM experience,30639
9,High School,Software engineer with experience in backend systems,93593
6,Bachelor,Customer support representative with CRM experience,108038
2,Bachelor,Project manager with Agile and Scrum expertise,123899
2,High School,Marketing specialist with SEO and SEM experience,33736
17,Bachelor,Software engineer with experience in backend systems,46473
4,Master,Graphic designer with Adobe Creative Suite proficiency,158771
11,High School,Customer support representative with CRM experience,155801
11,High School,Project manager with Agile and Scrum expertise,195091
18,Bachelor,Marketing specialist with SEO and SEM experience,137598
5,Bachelor,Project manager with Agile and Scrum expertise,116623
1,High School,Customer support representative with CRM experience,66820
11,Master,Project manager with Agile and Scrum expertise,87589
18,Bachelor,Financial analyst familiar with Excel and financial modeling,48414
4,Bachelor,Full stack developer skilled in React and Node.js,157378
11,PhD,Financial analyst familiar with Excel and financial modeling,54220
16,Master,Customer support representative with CRM experience,90531
16,Master,Marketing specialist with SEO and SEM experience,140002
9,High School,Software engineer with experience in backend systems,39387
16,Master,Data scientist proficient in machine learning and Python,106815
14,High School,Software engineer with experience in backend systems,57584
11,PhD,Project manager with Agile and Scrum expertise,74783
15,Master,Data scientist proficient in machine learning and Python,154494
18,Bachelor,Data scientist proficient in machine learning and Python,145814
7,PhD,Project manager with Agile and Scrum expertise,160752
20,High School,Project manager with Agile and Scrum expertise,171929
16,PhD,Marketing specialist with SEO and SEM experience,103588
4,High School,Customer support representative with CRM experience,178067
15,PhD,Graphic designer with Adobe Creative Suite proficiency,43580
5,High School,Software engineer with experience in backend systems,48240
7,Master,Customer support representative with CRM experience,113446
17,Bachelor,Financial analyst familiar with Excel and financial modeling,134533
11,High School,Marketing specialist with SEO and SEM experience,195938
14,PhD,Marketing specialist with SEO and SEM experience,110974
8,High School,Graphic designer with Adobe Creative Suite proficiency,103401
12,High School,Financial analyst familiar with Excel and financial modeling,173283
14,High School,Software engineer with experience in backend systems,194340
9,PhD,Full stack developer skilled in React and Node.js,33646
15,Bachelor,Financial analyst familiar with Excel and financial modeling,72816
6,Master,Software engineer with experience in backend systems,119460
16,Bachelor,Data scientist proficient in machine learning and Python,74112
20,High School,Project manager with Agile and Scrum expertise,81048
6,PhD,Marketing specialist with SEO and SEM experience,162850
13,Bachelor,Software engineer with experience in backend systems,75752
14,High School,Customer support representative with CRM experience,100726
20,Master,Graphic designer with Adobe Creative Suite proficiency,188361
6,Master,Project manager with Agile and Scrum expertise,74788
8,Master,Customer support representative with CRM experience,34747
18,High School,Project manager with Agile and Scrum expertise,30045
15,PhD,Marketing specialist with SEO and SEM experience,37758
7,Bachelor,Financial analyst familiar with Excel and financial modeling,155076
17,Master,Full stack developer skilled in React and Node.js,184509
17,High School,Financial analyst familiar with Excel and financial modeling,180657
19,High School,Software engineer with experience in backend systems,170926
6,Bachelor,Graphic designer with Adobe Creative Suite proficiency,86950
2,Master,Financial analyst familiar with Excel and financial modeling,178421
17,High School,Marketing specialist with SEO and SEM experience,182420
9,Bachelor,Graphic designer with Adobe Creative Suite proficiency,195368
6,PhD,Software engineer with experience in backend systems,49455
16,PhD,Data scientist proficient in machine learning and Python,118552
13,PhD,Financial analyst familiar with Excel and financial modeling,76116
2,Master,Financial analyst familiar with Excel and financial modeling,150461
11,Bachelor,Full stack developer skilled in React and Node.js,70484
12,Bachelor,Software engineer with experience in backend systems,191287
1,High School,Customer support representative with CRM experience,111638
2,High School,Financial analyst familiar with Excel and financial modeling,164476
4,High School,Marketing specialist with SEO and SEM experience,198332
10,Bachelor,Financial analyst familiar with Excel and financial modeling,130647
7,High School,Full stack developer skilled in React and Node.js,95642
11,Bachelor,Data scientist proficient in machine learning and Python,76009
6,Bachelor,Full stack developer skilled in React and Node.js,158824
14,PhD,Financial analyst familiar with Excel and financial modeling,59605
16,High School,Graphic designer with Adobe Creative Suite proficiency,140879
3,PhD,Customer support representative with CRM experience,198641
12,Master,Project manager with Agile and Scrum expertise,150827
17,Master,Financial analyst familiar with Excel and financial modeling,35580
0,Master,Software engineer with experience in backend systems,144902
15,Bachelor,Financial analyst familiar with Excel and financial modeling,35400
12,Bachelor,Customer support representative with CRM experience,126032
9,Bachelor,Software engineer with experience in backend systems,157319
11,High School,Marketing specialist with SEO and SEM experience,136960
1,PhD,Graphic designer with Adobe Creative Suite proficiency,69015
2,Bachelor,Software engineer with experience in backend systems,101713
9,PhD,Full stack developer skilled in React and Node.js,176046
1,PhD,Data scientist proficient in machine learning and Python,175109
12,PhD,Full stack developer skilled in React and Node.js,177239
12,High School,Project manager with Agile and Scrum expertise,118754
17,High School,Software engineer with experience in backend systems,73148
2,Master,Marketing specialist with SEO and SEM experience,182606
6,Master,Financial analyst familiar with Excel and financial modeling,152790
13,PhD,Graphic designer with Adobe Creative Suite proficiency,116078
19,Master,Software engineer with experience in backend systems,86879
16,PhD,Full stack developer skilled in React and Node.js,149894
20,High School,Software engineer with experience in backend systems,95839
11,High School,Software engineer with experience in backend systems,59756
15,High School,Software engineer with experience in backend systems,173755
11,Bachelor,Marketing specialist with SEO and SEM experience,172097
14,PhD,Graphic designer with Adobe Creative Suite proficiency,179787
9,High School,Customer support representative with CRM experience,122943
6,PhD,Customer support representative with CRM experience,178188
19,Master,Software engineer with experience in backend systems,66744
4,Master,Marketing specialist with SEO and SEM experience,154697
0,High School,Marketing specialist with SEO and SEM experience,146072
16,PhD,Project manager with Agile and Scrum expertise,163196
2,High School,Software engineer with experience in backend systems,199123
12,Master,Full stack developer skilled in React and Node.js,37176
13,High School,Full stack developer skilled in React and Node.js,121310
17,PhD,Data scientist proficient in machine learning and Python,179748
3,Master,Graphic designer with Adobe Creative Suite proficiency,75177
17,Bachelor,Software engineer with experience in backend systems,140623
4,Master,Data scientist proficient in machine learning and Python,30997
15,Bachelor,Full stack developer skilled in React and Node.js,150179
0,High School,Full stack developer skilled in React and Node.js,150403
20,High School,Software engineer with experience in backend systems,172303
13,PhD,Data scientist proficient in machine learning and Python,125287
14,Bachelor,Data scientist proficient in machine learning and Python,149574
8,High School,Software engineer with experience in backend systems,151509
14,Bachelor,Graphic designer with Adobe Creative Suite proficiency,115447
16,High School,Project manager with Agile and Scrum expertise,139522
3,Master,Data scientist proficient in machine learning and Python,111144
11,High School,Project manager with Agile and Scrum expertise,122693
4,PhD,Financial analyst familiar with Excel and financial modeling,124315
4,Master,Graphic designer with Adobe Creative Suite proficiency,57387
10,PhD,Full stack developer skilled in React and Node.js,34090
5,Master,Customer support representative with CRM experience,150846
6,Bachelor,Graphic designer with Adobe Creative Suite proficiency,186017
13,PhD,Project manager with Agile and Scrum expertise,70239
10,High School,Project manager with Agile and Scrum expertise,33743
12,Bachelor,Project manager with Agile and Scrum expertise,60924
1,High School,Marketing specialist with SEO and SEM experience,171268
6,Master,Graphic designer with Adobe Creative Suite proficiency,160160
19,Master,Data scientist proficient in machine learning and Python,121815
3,High School,Data scientist proficient in machine learning and Python,135312
7,High School,Marketing specialist with SEO and SEM experience,98860
19,Bachelor,Data scientist proficient in machine learning and Python,110399
20,High School,Marketing specialist with SEO and SEM experience,78795
18,PhD,Project manager with Agile and Scrum expertise,81553
12,PhD,Software engineer with experience in backend systems,133976
13,High School,Graphic designer with Adobe Creative Suite proficiency,185183
9,PhD,Financial analyst familiar with Excel and financial modeling,143566
10,High School,Project manager with Agile and Scrum expertise,149968
1,Bachelor,Financial analyst familiar with Excel and financial modeling,91600
8,PhD,Full stack developer skilled in React and Node.js,80022
16,PhD,Project manager with Agile and Scrum expertise,164271
2,High School,Customer support representative with CRM experience,80897
5,PhD,Data scientist proficient in machine learning and Python,68038
4,Master,Customer support representative with CRM experience,153323
4,Bachelor,Software engineer with experience in backend systems,150278
14,Bachelor,Financial analyst familiar with Excel and financial modeling,141054
16,PhD,Graphic designer with Adobe Creative Suite proficiency,37897
8,PhD,Project manager with Agile and Scrum expertise,94541
2,Master,Graphic designer with Adobe Creative Suite proficiency,136968
19,Master,Software engineer with experience in backend systems,44892
16,PhD,Software engineer with experience in backend systems,169343
9,PhD,Data scientist proficient in machine learning and Python,54815
2,Master,Software engineer with experience in backend systems,75612
17,High School,Project manager with Agile and Scrum expertise,194429
17,Master,Project manager with Agile and Scrum expertise,46267
16,High School,Graphic designer with Adobe Creative Suite proficiency,48268
2,Bachelor,Graphic designer with Adobe Creative Suite proficiency,144463
2,Bachelor,Financial analyst familiar with Excel and financial modeling,175335
5,Master,Project manager with Agile and Scrum expertise,125347
12,High School,Customer support representative with CRM experience,124542
14,Master,Financial analyst familiar with Excel and financial modeling,96612
8,Master,Data scientist proficient in machine learning and Python,168307
3,High School,Financial analyst familiar with Excel and financial modeling,118757
13,Master,Marketing specialist with SEO and SEM experience,177489
4,Bachelor,Graphic designer with Adobe Creative Suite proficiency,128075
1,PhD,Customer support representative with CRM experience,64609
10,PhD,Graphic designer with Adobe Creative Suite proficiency,132785
8,Master,Marketing specialist with SEO and SEM experience,194974
2,High School,Marketing specialist with SEO and SEM experience,53645
8,High School,Full stack developer skilled in React and Node.js,92233
2,Bachelor,Project manager with Agile and Scrum expertise,141443
1,High School,Data scientist proficient in machine learning and Python,184473
11,High School,Software engineer with experience in backend systems,37771
9,Bachelor,Marketing specialist with SEO and SEM experience,132601
8,Master,Financial analyst familiar with Excel and financial modeling,163014
14,PhD,Software engineer with experience in backend systems,181460
7,Bachelor,Financial analyst familiar with Excel and financial modeling,155224
4,Master,Graphic designer with Adobe Creative Suite proficiency,113251
10,Bachelor,Financial analyst familiar with Excel and financial modeling,87042
1,Master,Software engineer with experience in backend systems,83740
14,Bachelor,Software engineer with experience in backend systems,77024
5,Master,Project manager with Agile and Scrum expertise,184522
7,Bachelor,Financial analyst familiar with Excel and financial modeling,86965
4,Master,Data scientist proficient in machine learning and Python,40057
15,Bachelor,Project manager with Agile and Scrum expertise,38983
17,PhD,Customer support representative with CRM experience,160469
5,PhD,Full stack developer skilled in React and Node.js,49995
4,High School,Customer support representative with CRM experience,144587
15,Master,Data scientist proficient in machine learning and Python,68886
12,Bachelor,Project manager with Agile and Scrum expertise,119025
4,Master,Full stack developer skilled in React and Node.js,125149
12,PhD,Project manager with Agile and Scrum expertise,124020
16,Master,Software engineer with experience in backend systems,32673
17,Bachelor,Full stack developer skilled in React and Node.js,195962
7,Master,Graphic designer with Adobe Creative Suite proficiency,107513
12,Bachelor,Financial analyst familiar with Excel and financial modeling,53466
18,PhD,Customer support representative with CRM experience,122545
2,PhD,Full stack developer skilled in React and Node.js,80406
7,PhD,Financial analyst familiar with Excel and financial modeling,164760
1,High School,Project manager with Agile and Scrum expertise,99284
7,PhD,Data scientist proficient in machine learning and Python,144579
12,Master,Full stack developer skilled in React and Node.js,43665
12,High School,Financial analyst familiar with Excel and financial modeling,50641
0,PhD,Project manager with Agile and Scrum expertise,193572
5,Master,Project manager with Agile and Scrum expertise,65797
